,browserbite-svm-external,browserbite-nn-external,browserbite-dt-external,browserbite-randomforest-external,crosscheck-svm-external,crosscheck-nn-external,crosscheck-dt-external,crosscheck-randomforest-external,browserninja1-svm-external,browserninja1-nn-external,browserninja1-dt-external,browserninja1-randomforest-external
0,0.5,0.3055555555555556,0.0,0.53125,0.7692307692307693,0.9090909090909092,0.6458333333333334,0.6862745098039216,0.7948717948717948,0.8604651162790697,0.5074626865671642,0.8409090909090909
1,0.0266666666666666,0.0555555555555555,0.1739130434782608,0.0833333333333333,0.36,0.2127659574468085,0.2571428571428571,0.7,0.78125,0.8,0.7272727272727273,0.8275862068965517
2,0.2727272727272727,0.0365853658536585,0.0252100840336134,0.0210526315789473,0.3170731707317073,0.2888888888888888,0.782608695652174,0.4036697247706422,0.4341085271317829,0.4122137404580153,0.7719298245614035,0.7586206896551724
3,0.0789473684210526,0.1176470588235294,0.0,0.238095238095238,0.25,0.0,0.7894736842105263,0.9375,0.7142857142857143,0.72,0.6071428571428571,0.7307692307692307
4,0.125,0.1267605633802817,0.2272727272727272,0.3333333333333333,0.1666666666666666,0.2,0.6666666666666666,0.8076923076923077,0.8,0.8571428571428571,0.9565217391304348,0.8518518518518519
5,0.1866666666666666,0.2954545454545454,0.2318840579710145,0.5142857142857142,0.2067039106145251,0.1439588688946015,0.7640449438202247,0.8026315789473685,0.8947368421052632,0.9647058823529412,0.8404255319148937,0.9759036144578314
6,0.081081081081081,0.0117647058823529,0.0202020202020202,0.0,0.25,0.1,0.2,0.8,0.28125,0.6851851851851852,0.6,0.6206896551724138
7,0.0892857142857142,0.1063829787234042,0.3333333333333333,0.6666666666666666,0.6956521739130435,0.2149532710280373,0.6557377049180327,0.6470588235294118,0.875,0.9571428571428572,0.7611940298507462,0.9814814814814815
8,0.0833333333333333,0.1111111111111111,0.1071428571428571,0.3181818181818182,0.7857142857142857,0.1792452830188679,0.6857142857142857,0.9,0.9,0.9333333333333332,0.4716981132075472,1.0
9,0.0674157303370786,0.6111111111111112,0.0408163265306122,0.4883720930232558,0.532258064516129,0.8043478260869565,0.7555555555555555,0.7738095238095238,0.8791208791208791,0.8888888888888888,0.6601941747572816,0.8645833333333334
